Kurskod;Kursnamn;Högskolepoäng;Anmälningskod;Årtal;Vecka;Studieplatser;Studietakt
DV004C;Avancerad grafik-programmering;7.5;18401;2013;45;30;0.50
DVG305;Avancerad grafik-programmering;7.5;18435;2013;45;30;0.50
DVG305;Avancerad grafik-programmering;7.5;18432;2014;45;30;0.50
DVG309;Avancerad grafik-programmering;7.5;28401;2015;4;1;0.50
DVG309;Avancerad grafik-programmering;7.5;28418;2016;4;2;0.50
DVG309;Avancerad grafik-programmering;7.5;28414;2017;4;10;0.50
DV020C;Avancerad grafisk visualisering;7.5;28402;2013;4;30;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18422;2020;36;30;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18407;2021;35;35;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18417;2022;35;35;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18410;2023;35;26;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18421;2024;36;26;0.50
DVG327;Avancerad webbutveckling med ramverk;7.5;18421;2025;36;26;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18423;2020;36;110;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18418;2021;35;115;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18400;2022;35;115;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18403;2023;35;115;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18405;2024;36;115;0.50
BEA000;Beslut och risk i teori och praktik;7.5;18405;2025;36;115;0.50
DV012D;Beslut och risk i teori och praktik 2;7.5;28417;2015;4;50;0.50
DV012D;Beslut och risk i teori och praktik 2;7.5;28415;2016;4;50;0.50
DV012D;Beslut och risk i teori och praktik 2;7.5;28408;2017;4;40;0.50
DV012D;Beslut och risk i teori och praktik 2;7.5;28405;2018;3;50;0.50
DV012D;Beslut och risk i teori och praktik 2;7.5;28412;2019;4;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;28418;2015;4;50;0.50
BEG001;Besluts- och riskanalys 1;7.5;28404;2016;4;53;0.50
BEG001;Besluts- och riskanalys 1;7.5;28425;2017;4;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;28425;2018;3;100;0.50
BEG001;Besluts- och riskanalys 1;7.5;28426;2018;3;5;0.50
BEG001;Besluts- och riskanalys 1;7.5;28424;2019;4;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;28428;2019;4;5;0.50
BEG001;Besluts- och riskanalys 1;7.5;18417;2019;36;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;28423;2020;4;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;18425;2020;4;90;0.50
BEG001;Besluts- och riskanalys 1;7.5;28413;2021;3;120;0.50
BEG001;Besluts- och riskanalys 1;7.5;18403;2021;35;90;0.50
BEG001;Besluts- och riskanalys 1;7.5;28423;2022;3;100;0.50
BEG001;Besluts- och riskanalys 1;7.5;18407;2022;35;90;0.50
BEG001;Besluts- och riskanalys 1;7.5;28417;2023;3;90;0.50
BEG001;Besluts- och riskanalys 1;7.5;18422;2023;35;60;0.50
BEG001;Besluts- och riskanalys 1;7.5;28424;2024;3;60;0.25
BEG001;Besluts- och riskanalys 1;7.5;18410;2024;36;60;0.25
BEG001;Besluts- och riskanalys 1;7.5;28424;2025;3;60;0.25
BEG001;Besluts- och riskanalys 1;7.5;18410;2025;36;60;0.25
BEG303;Besluts- och riskanalys 2;7.5;28419;2015;4;15;0.50
BEG303;Besluts- och riskanalys 2;7.5;28405;2016;4;15;0.50
BEG303;Besluts- och riskanalys 2;7.5;28426;2017;4;15;0.50
BEG303;Besluts- och riskanalys 2;7.5;28427;2018;3;20;0.50
BEG303;Besluts- och riskanalys 2;7.5;28425;2019;4;10;0.50
BEG303;Besluts- och riskanalys 2;7.5;18418;2019;36;10;0.50
BEG303;Besluts- och riskanalys 2;7.5;28420;2020;4;31;0.50
BEG303;Besluts- och riskanalys 2;7.5;28424;2021;3;15;0.50
BEG303;Besluts- och riskanalys 2;7.5;28421;2022;3;20;0.50
BEG303;Besluts- och riskanalys 2;7.5;28413;2023;3;30;0.50
BEG303;Besluts- och riskanalys 2;7.5;28425;2024;3;30;0.25
BEG303;Besluts- och riskanalys 2;7.5;28425;2025;3;30;0.25
BEG304;Besluts- och riskanalys 3;7.5;28420;2015;4;10;0.50
BEG304;Besluts- och riskanalys 3;7.5;28406;2016;4;6;0.50
BEG304;Besluts- och riskanalys 3;7.5;28427;2017;4;6;0.50
BEG304;Besluts- och riskanalys 3;7.5;28428;2018;3;10;0.50
BEG304;Besluts- och riskanalys 3;7.5;28426;2019;4;5;0.50
BEG304;Besluts- och riskanalys 3;7.5;18419;2019;36;5;0.50
BEG304;Besluts- och riskanalys 3;7.5;28421;2020;4;7;0.50
BEG304;Besluts- och riskanalys 3;7.5;28425;2021;3;2;0.50
BEG304;Besluts- och riskanalys 3;7.5;28422;2022;3;10;0.50
BEG304;Besluts- och riskanalys 3;7.5;28414;2023;3;30;0.50
BEG304;Besluts- och riskanalys 3;7.5;28426;2024;3;30;0.25
BEG304;Besluts- och riskanalys 3;7.5;28426;2025;3;30;0.25
BEA001;Besluts-, risk- och policyanalys 1;7.5;18437;2023;1;10;0.50
BEA001;Besluts-, risk- och policyanalys 1;7.5;18408;2024;46;10;0.50
BEA001;Besluts-, risk- och policyanalys 1;7.5;18408;2025;46;10;0.50
BEG502;Beslutsteori;7.5;18417;2020;40;15;0.50
BEG502;Beslutsteori;7.5;18428;2021;40;20;0.50
BEG502;Beslutsteori;7.5;18434;2022;40;10;0.50
BEG502;Beslutsteori;7.5;18411;2024;36;10;1.00
BEG502;Beslutsteori;7.5;18411;2025;36;10;1.00
DVG513;Bildbehandling med tillämpningar mot geodata;7.5;28417;2022;3;7;0.50
DVG513;Bildbehandling med tillämpningar mot geodata;7.5;28403;2023;3;7;0.50
DVG513;Bildbehandling med tillämpningar mot geodata;7.5;28402;2024;3;10;0.50
DVG513;Bildbehandling med tillämpningar mot geodata;7.5;28402;2025;3;10;0.50
SBG313;Byggmätning för byggare;7.5;17300;2018;46;50;0.50
SBG313;Byggmätning för byggare;7.5;17301;2019;46;50;0.50
SBG313;Byggmätning för byggare;7.5;17301;2020;46;35;0.50
SBG313;Byggmätning för byggare;7.5;17300;2021;45;45;0.50
SBG313;Byggmätning för byggare;7.5;17320;2022;45;45;0.50
SBG329;Byggmätning för byggnadsingenjörer;7.5;17313;2023;45;40;0.50
SBG329;Byggmätning för byggnadsingenjörer;7.5;17332;2024;46;40;0.50
SBG329;Byggmätning för byggnadsingenjörer;7.5;17332;2025;46;40;0.50
SBG302;Byggmätning och arbetsledning;7.5;27300;2015;4;18;0.50
SBG302;Byggmätning och arbetsledning;7.5;27302;2016;4;20;0.50
SBG302;Byggmätning och arbetsledning;7.5;27301;2017;4;32;0.50
SBG302;Byggmätning och arbetsledning;7.5;27312;2018;3;24;0.50
SBG302;Byggmätning och arbetsledning;7.5;27300;2019;4;30;0.50
SBG302;Byggmätning och arbetsledning;7.5;27302;2020;4;30;0.50
SBG302;Byggmätning och arbetsledning;7.5;27311;2021;3;22;0.50
SBG302;Byggmätning och arbetsledning;7.5;27302;2022;3;16;0.50
SBG302;Byggmätning och arbetsledning;7.5;27302;2023;3;20;0.50
SBG302;Byggmätning och arbetsledning;7.5;27325;2024;3;12;0.50
SBG302;Byggmätning och arbetsledning;7.5;27325;2025;3;12;0.50
SBG301;Byggmätning och organisation;7.5;27301;2015;4;40;0.50
SBG301;Byggmätning och organisation;7.5;27303;2016;4;40;0.50
SBG301;Byggmätning och organisation;7.5;27302;2017;4;25;0.50
SBG301;Byggmätning och organisation;7.5;27313;2018;3;28;0.50
SBG301;Byggmätning och organisation;7.5;27301;2019;4;45;0.50
SBG301;Byggmätning och organisation;7.5;27303;2020;4;26;0.50
SBG301;Byggmätning och organisation;7.5;27306;2021;3;20;0.50
SBG327;Byggmätning och organisation;7.5;27323;2022;3;24;0.50
SBG327;Byggmätning och organisation;7.5;27303;2023;3;15;0.50
SBG327;Byggmätning och organisation;7.5;27317;2024;3;30;0.50
SBG327;Byggmätning och organisation;7.5;27317;2025;3;30;0.50
SBG321;Byggnadsteknik och byggmätning;7.5;17314;2023;45;6;0.50
SBG321;Byggnadsteknik och byggmätning;7.5;17330;2024;46;6;0.50
SBG321;Byggnadsteknik och byggmätning;7.5;17330;2025;46;6;0.50
MTG008;CAD och produktutveckling;7.5;16208;2018;35;30;0.50
MTG008;CAD och produktutveckling;7.5;16208;2019;36;40;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28608;2018;3;30;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28609;2019;4;40;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18603;2019;36;35;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28609;2020;4;20;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18601;2020;36;40;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28608;2021;3;22;0.25
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18600;2021;35;36;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28609;2022;3;20;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18601;2022;35;35;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18600;2023;35;35;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28610;2022;3;30;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18602;2024;36;35;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28607;2024;3;30;0.25
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;18602;2025;36;35;0.50
SBG031;CAD och ritteknik för samhällsbyggnad;7.5;28607;2025;3;30;0.25
MM510A;CAD-teknik - Parametrisk solidmodellering;7.5;26200;2015;4;30;0.50
MM510A;CAD-teknik - Parametrisk solidmodellering;7.5;26203;2016;4;30;0.50
MM510A;CAD-teknik - Parametrisk solidmodellering;7.5;26208;2017;4;30;0.50
MM510A;CAD-teknik - Parametrisk solidmodellering;7.5;26208;2018;3;30;0.50
MM510A;CAD-teknik - Parametrisk solidmodellering;7.5;26208;2019;4;30;0.50
MM511A;CAD-teknik, grundkurs 2D;7.5;16209;2018;35;30;0.50
MM511A;CAD-teknik, grundkurs 2D;7.5;16209;2019;36;30;0.50
DV037B;Computer Graphics Projects;15.0;28403;2013;14;30;0.50
DV002C;Computer Graphics Special Techniques;7.5;28404;2013;4;30;0.50
MM500B;Concurrent engineering;15.0;16206;2014;1;5;0.25
MM500B;Concurrent engineering;15.0;16200;2015;36;12;0.25
ST006A;Dataanalys och statistik för ekonomer;0.0;18211;2022;1;30;0.50
DVG328;Databasteknik;7.5;18402;2019;36;40;0.50
DVG328;Databasteknik;7.5;18407;2020;36;40;0.50
DVG328;Databasteknik;7.5;18408;2021;35;40;0.50
DVG328;Databasteknik;7.5;18418;2022;35;40;0.50
DVG328;Databasteknik;7.5;18412;2023;35;45;0.50
DVG328;Databasteknik;7.5;18422;2024;36;45;0.50
DVG328;Databasteknik;7.5;18422;2025;36;45;0.50
DV042B;Datakommunikation och IT-säkerhet;7.5;28405;2013;4;30;0.50
DV042B;Datakommunikation och IT-säkerhet;7.5;28406;2013;14;30;0.50
DV042B;Datakommunikation och IT-säkerhet;7.5;28401;2014;4;30;0.50
DV042B;Datakommunikation och IT-säkerhet;7.5;28402;2014;14;30;0.50
DV042B;Datakommunikation och IT-säkerhet;7.5;18400;2014;45;30;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18410;2017;45;24;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18408;2019;46;35;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18403;2020;46;30;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18409;2021;45;30;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18415;2022;45;30;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18427;2023;45;26;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18420;2024;46;26;0.50
DVG324;Datakommunikation och IT-säkerhet;7.5;18420;2025;46;26;0.50
DV005A;Datakommunikation och datornät för Internetteknologi;15.0;28407;2013;14;30;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;28419;2018;3;5;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18409;2018;3;5;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18405;2019;36;25;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18408;2020;36;30;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18410;2021;35;30;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18422;2022;35;35;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18413;2023;35;26;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18404;2024;36;26;0.50
DVG504;Datavisualisering - design och konstruktion;7.5;18404;2025;36;26;0.50
DV008A;Datoranvändning för humanister;7.5;18402;2013;35;30;0.50
DV009A;Datorer och programvaruutveckling;20.0;18403;2013;35;30;0.50
DV009A;Datorer och programvaruutveckling;20.0;18405;2014;35;30;0.50
DV010B;Datorgrafik;7.5;18404;2013;35;30;0.50
DV010B;Datorgrafik;7.5;18406;2014;35;30;0.50
DVG306;Datorgrafik på mobila enheter;7.5;18408;2017;35;25;0.25
DVG306;Datorgrafik på mobila enheter;7.5;18406;2019;46;30;0.50
DVG306;Datorgrafik på mobila enheter;7.5;18405;2020;46;18;0.50
DVG306;Datorgrafik på mobila enheter;7.5;18405;2021;45;9;0.50
DVG306;Datorgrafik på mobila enheter;7.5;18412;2022;45;25;0.25
DVG306;Datorgrafik på mobila enheter;7.5;18414;2023;45;30;0.50
DVG306;Datorgrafik på mobila enheter;7.5;18400;2024;46;30;0.25
DVG306;Datorgrafik på mobila enheter;7.5;18400;2025;46;30;0.25
DVG009;Datorsystem;7.5;18411;2017;45;50;0.50
DVG009;Datorsystem;7.5;18400;2019;46;65;0.50
DVG009;Datorsystem;7.5;18406;2020;46;45;0.50
DVG009;Datorsystem;7.5;18411;2021;45;45;0.50
DVG009;Datorsystem;7.5;18431;2021;45;30;0.50
DVG009;Datorsystem;7.5;18411;2022;45;45;0.50
DVG009;Datorsystem;7.5;18421;2023;45;75;0.50
DVG009;Datorsystem;7.5;18402;2024;46;75;0.50
DVG009;Datorsystem;7.5;18402;2025;46;75;0.50
DVG011;Datorsystem och programmeringsmetodik;15.0;28417;2021;3;17;0.50
DVG011;Datorsystem och programmeringsmetodik;15.0;28402;2022;3;15;0.50
DVG011;Datorsystem och programmeringsmetodik;15.0;28418;2023;3;15;0.50
DVG011;Datorsystem och programmeringsmetodik;15.0;28416;2024;3;15;1.00
DVG011;Datorsystem och programmeringsmetodik;15.0;28416;2025;3;15;1.00
DV046A;Datorsystem och programvaruutveckling;15.0;18405;2013;45;30;0.50
DV046A;Datorsystem och programvaruutveckling;15.0;18403;2014;45;23;0.50
SBG502;Demokrati och etik inom samhällsplanering;7.5;28600;2015;4;25;0.50
SBG502;Demokrati och etik inom samhällsplanering;7.5;28605;2016;4;30;0.50
SBG502;Demokrati och etik inom samhällsplanering;7.5;28600;2017;4;24;0.50
SBG502;Demokrati och etik inom samhällsplanering;7.5;28604;2018;3;26;0.50
SBG502;Demokrati och etik inom samhällsplanering;7.5;28608;2019;4;15;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28603;2020;4;25;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28602;2021;3;28;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28600;2022;3;24;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28603;2023;3;20;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28603;2024;3;30;0.50
SBG563;Demokrati och etik inom samhällsplanering;7.5;28603;2025;3;30;0.50
DV013A;Den digitala kulturen;7.5;28408;2013;4;30;0.50
DV013A;Den digitala kulturen;7.5;28427;2014;4;30;0.50
DV007B;Design och konstruktion av webbapplikationer;15.0;28409;2013;4;30;0.50
DV023C;Designvisualisering och VR-teknik eller arbete i professionell studio;15.0;18406;2013;35;30;0.50
SB212B;Digital Fotogrammetri;7.5;27302;2015;4;30;0.50
SB212B;Digital Fotogrammetri;7.5;27304;2016;4;50;0.50
SB212B;Digital Fotogrammetri;7.5;27303;2017;4;25;0.50
SB212B;Digital Fotogrammetri;7.5;27314;2018;3;36;0.50
SB212B;Digital Fotogrammetri;7.5;27302;2019;4;45;0.50
SB212B;Digital Fotogrammetri;7.5;27300;2020;4;25;0.50
SB212B;Digital Fotogrammetri;7.5;27300;2021;3;26;0.50
SB212B;Digital Fotogrammetri;7.5;27300;2022;3;19;0.50
SB212B;Digital Fotogrammetri;7.5;27304;2023;3;15;0.50
SB212B;Digital Fotogrammetri;7.5;27302;2024;3;30;0.50
SB212B;Digital Fotogrammetri;7.5;27302;2025;3;30;0.50
EEA305;Digital bildbehandling och datorseende;7.5;18304;2017;45;15;0.50
EEA305;Digital bildbehandling och datorseende;7.5;28300;2018;45;15;0.50
EEA305;Digital bildbehandling och datorseende;7.5;18305;2018;45;15;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28312;2021;3;11;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28313;2021;3;18;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28303;2022;3;8;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28308;2022;3;24;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28304;2023;3;15;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28300;2023;3;6;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28306;2023;3;2;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28304;2023;3;20;0.50
EEA308;Digital bildbehandling och datorseende;7.5;28304;2025;3;20;0.50
ABD777;Digital design för trädgårdsmästare;7.5;98765;2015;1;20;0.50
DEG321;Digital design för trädgårdsmästare;7.5;28700;2016;4;20;0.50
IEG303;Distributionslogistik;7.5;17410;2019;46;50;0.50
DV017B;Examensarbete för Dataingenjörsutbildning;15.0;28411;2013;14;30;0.50
DV017B;Examensarbete för Dataingenjörsutbildning;15.0;28412;2013;14;30;0.50
DV017B;Examensarbete för Dataingenjörsutbildning;15.0;28403;2014;14;30;0.50
DV021B;Examensarbete för Internetteknologi;15.0;28410;2013;14;30;0.50
DV021B;Examensarbete för Internetteknologi;15.0;28404;2014;14;30;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2015;14;2;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28503;2016;14;30;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28503;2017;14;0;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28501;2018;13;4;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2019;14;5;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2020;14;30;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28501;2021;13;2;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2022;13;30;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2023;13;13;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2024;13;13;0.50
SB295C;Examensarbete för filosofie kandidat i geografi;15.0;28500;2025;13;13;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27303;2015;14;10;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27305;2016;14;60;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27304;2017;14;53;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27315;2018;13;57;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27303;2019;14;60;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27317;2020;14;30;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27301;2021;13;22;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27303;2022;13;29;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27305;2023;13;34;0.50
SB298C;Examensarbete för filosofie/teknologie kandidat i lantmäteriteknik;15.0;27303;2024;13;30;1.00
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28601;2015;14;30;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28604;2016;14;35;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28601;2017;14;20;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28605;2018;13;26;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28600;2019;14;25;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28604;2020;14;30;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28604;2021;13;39;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28601;2022;13;30;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28602;2023;13;13;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28602;2024;13;13;0.50
SB296C;Examensarbete för filosofie/teknologie kandidat i samhällsplanering;15.0;28602;2025;13;13;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27304;2015;14;10;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27315;2016;14;15;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27312;2017;14;4;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27302;2018;13;1;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27304;2019;14;10;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27318;2020;14;30;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27304;2022;13;6;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27301;2023;13;2;0.50
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27331;2024;13;7;1.00
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27304;2024;13;2;1.00
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27331;2025;13;7;1.00
SB299D;Examensarbete för filosofie/teknologie magister i geomatik;15.0;27304;2025;13;2;1.00
SBG701;Examensarbete för högskoleexamen i Geografi;7.5;28504;2024;13;0;0.50
SBG701;Examensarbete för högskoleexamen i Geografi;7.5;28504;2025;13;0;0.50
SBG702;Examensarbete för högskoleexamen i samhällsplanering;7.5;28610;2024;13;1;1.00
SBG702;Examensarbete för högskoleexamen i samhällsplanering;7.5;28610;2025;13;1;1.00
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28436;2014;14;30;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28403;2015;14;20;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28421;2016;14;12;0.50
